date,open,high,low,close,pct_change,volume,ln_return
2012-01-05,1277.3,1283.05,1265.26,1281.06,0.0029,4315950000,0.002939385
2012-01-04,1277.03,1278.73,1268.1,1277.3,0.0002,3592580000,0.000187914
2012-01-03,1258.86,1284.62,1258.86,1277.06,0.0155,3943710000,0.015355418
2011-12-30,1262.82,1264.12,1257.46,1257.6,-0.0043,2271850000,-0.004300536
2011-12-29,1249.75,1263.54,1249.75,1263.02,0.0107,2278130000,0.010650169
2011-12-28,1265.38,1265.85,1248.64,1249.64,-0.0125,2349980000,-0.012556476
2011-12-27,1265.02,1269.37,1262.3,1265.43,0.0001,2130590000,7.90276E-05
2011-12-23,1254,1265.42,1254,1265.33,0.009,2233830000,0.008994516
2011-12-22,1243.72,1255.22,1243.72,1254,0.0083,3492250000,0.008231554
2011-12-21,1241.25,1245.09,1229.51,1243.72,0.0019,2959020000,0.001947671
2011-12-20,1205.72,1242.82,1205.72,1241.3,0.0298,4055590000,0.029389236
2011-12-19,1219.74,1224.57,1202.37,1205.35,-0.0117,3659820000,-0.01180215
2011-12-16,1216.09,1231.04,1215.2,1219.66,0.0032,5345800000,0.003210961
2011-12-15,1212.12,1225.6,1212.12,1215.75,0.0032,3810340000,0.003237809
2011-12-14,1225.73,1225.73,1209.47,1211.82,-0.0113,4298290000,-0.011413223
2011-12-13,1236.83,1249.86,1219.43,1225.73,-0.0087,4121570000,-0.008723961
2011-12-12,1255.05,1255.05,1227.25,1236.47,-0.0149,3600570000,-0.01502641
2011-12-09,1234.48,1258.25,1234.48,1255.19,0.0169,3830610000,0.01674244
2011-12-08,1260.87,1260.87,1231.47,1234.35,-0.0211,4298370000,-0.021368471
2011-12-07,1258.14,1267.06,1244.8,1261.01,0.002,4160540000,0.00201629
2011-12-06,1257.19,1266.03,1253.03,1258.47,0.0011,3734230000,0.001105126
2011-12-05,1244.33,1266.73,1244.33,1257.08,0.0103,4148060000,0.010234522
2011-12-02,1246.03,1260.08,1243.35,1244.28,-0.0002,4144310000,-0.000241074
2011-12-01,1246.91,1251.09,1239.73,1244.58,-0.0019,3818680000,-0.001910466
2011-11-30,1196.72,1247.11,1196.72,1246.96,0.0433,5801910000,0.042403421
2011-11-29,1192.56,1203.67,1191.8,1195.19,0.0022,3992650000,0.002211297
2011-11-28,1158.67,1197.35,1158.67,1192.55,0.0292,3920750000,0.028821076
2011-11-25,1161.41,1172.66,1158.66,1158.67,-0.0027,1664200000,-0.002689124
2011-11-23,1187.48,1187.48,1161.79,1161.79,-0.0221,3798940000,-0.022342971
2011-11-22,1192.98,1196.81,1181.65,1188.04,-0.0041,3911710000,-0.004149488
2011-11-21,1215.62,1215.62,1183.16,1192.98,-0.0186,4050070000,-0.018824535
2011-11-18,1216.19,1223.51,1211.36,1215.65,-0.0004,3827610000,-0.000394773
2011-11-17,1236.56,1237.73,1209.43,1216.13,-0.0168,4596450000,-0.016942648
2011-11-16,1257.81,1259.61,1235.67,1236.91,-0.0166,4085010000,-0.016755779
2011-11-15,1251.7,1264.25,1244.34,1257.81,0.0048,3599300000,0.004805575
2011-11-14,1263.85,1263.85,1246.68,1251.78,-0.0096,3219680000,-0.009596079
2011-11-11,1240.12,1266.98,1240.12,1263.85,0.0195,3370180000,0.019293203
2011-11-10,1229.59,1246.22,1227.7,1239.7,0.0086,4002760000,0.008587221
2011-11-09,1275.18,1275.18,1226.64,1229.1,-0.0367,4659740000,-0.037385293
2011-11-08,1261.12,1277.55,1254.99,1275.92,0.0117,3908490000,0.011667272
2011-11-07,1253.21,1261.7,1240.75,1261.12,0.0063,3429740000,0.006275996
2011-11-04,1260.82,1260.82,1238.92,1253.23,-0.0063,3830650000,-0.006299785
2011-11-03,1238.25,1263.21,1234.81,1261.15,0.0188,4849140000,0.018607608
2011-11-02,1219.62,1242.48,1219.62,1237.9,0.0161,4110530000,0.015976368
2011-11-01,1251,1251,1215.42,1218.28,-0.0279,5645540000,-0.028340045
2011-10-31,1284.96,1284.96,1253.16,1253.3,-0.0247,4310210000,-0.025048682
2011-10-28,1284.39,1287.08,1277.01,1285.09,0.0004,4536690000,0.000389154
2011-10-27,1243.97,1292.66,1243.97,1284.59,0.0343,6367610000,0.033716618
2011-10-26,1229.17,1246.28,1221.06,1242,0.0105,4873530000,0.01048147
2011-10-25,1254.19,1254.19,1226.79,1229.05,-0.02,4473970000,-0.020248433
2011-10-24,1238.72,1256.55,1238.72,1254.19,0.0129,4309380000,0.012790853
2011-10-21,1215.39,1239.03,1215.39,1238.25,0.0188,4980770000,0.01863408
2011-10-20,1209.92,1219.53,1197.34,1215.39,0.0046,4870290000,0.004543832
2011-10-19,1223.46,1229.64,1206.31,1209.88,-0.0126,4846390000,-0.012729819
2011-10-18,1200.75,1233.1,1191.48,1225.38,0.0204,4840170000,0.020213033
2011-10-17,1224.47,1224.47,1198.55,1200.86,-0.0194,4300700000,-0.019559961
2011-10-14,1205.65,1224.61,1205.65,1224.58,0.0174,4116690000,0.017231013
2011-10-13,1206.96,1207.46,1190.58,1203.66,-0.003,4436270000,-0.002978131
